"category","descriptorClass"
"hybrid","org.openscience.cdk.qsar.descriptors.molecular.WHIMDescriptor"
"hybrid","org.openscience.cdk.qsar.descriptors.molecular.BCUTDescriptor"
"constitutional","org.openscience.cdk.qsar.descriptors.molecular.XLogPDescriptor"
"constitutional","org.openscience.cdk.qsar.descriptors.molecular.WeightDescriptor"
"constitutional","org.openscience.cdk.qsar.descriptors.molecular.RuleOfFiveDescriptor"
"constitutional","org.openscience.cdk.qsar.descriptors.molecular.RotatableBondsCountDescriptor"
"constitutional","org.openscience.cdk.qsar.descriptors.molecular.MannholdLogPDescriptor"
"constitutional","org.openscience.cdk.qsar.descriptors.molecular.LongestAliphaticChainDescriptor"
"constitutional","org.openscience.cdk.qsar.descriptors.molecular.LargestPiSystemDescriptor"
"constitutional","org.openscience.cdk.qsar.descriptors.molecular.LargestChainDescriptor"
"constitutional","org.openscience.cdk.qsar.descriptors.molecular.BondCountDescriptor"
"constitutional","org.openscience.cdk.qsar.descriptors.molecular.BasicGroupCountDescriptor"
"constitutional","org.openscience.cdk.qsar.descriptors.molecular.AtomCountDescriptor"
"constitutional","org.openscience.cdk.qsar.descriptors.molecular.AromaticBondsCountDescriptor"
"constitutional","org.openscience.cdk.qsar.descriptors.molecular.AromaticAtomsCountDescriptor"
"constitutional","org.openscience.cdk.qsar.descriptors.molecular.ALOGPDescriptor"
"constitutional","org.openscience.cdk.qsar.descriptors.molecular.AcidicGroupCountDescriptor"
"topological","org.openscience.cdk.qsar.descriptors.molecular.SmallRingDescriptor"
"topological","org.openscience.cdk.qsar.descriptors.molecular.FractionalPSADescriptor"
"topological","org.openscience.cdk.qsar.descriptors.molecular.ZagrebIndexDescriptor"
"topological","org.openscience.cdk.qsar.descriptors.molecular.WienerNumbersDescriptor"
"topological","org.openscience.cdk.qsar.descriptors.molecular.WeightedPathDescriptor"
"topological","org.openscience.cdk.qsar.descriptors.molecular.VAdjMaDescriptor"
"topological","org.openscience.cdk.qsar.descriptors.molecular.VABCDescriptor"
"topological","org.openscience.cdk.qsar.descriptors.molecular.TPSADescriptor"
"topological","org.openscience.cdk.qsar.descriptors.molecular.PetitjeanShapeIndexDescriptor"
"topological","org.openscience.cdk.qsar.descriptors.molecular.PetitjeanNumberDescriptor"
"topological","org.openscience.cdk.qsar.descriptors.molecular.MDEDescriptor"
"topological","org.openscience.cdk.qsar.descriptors.molecular.KierHallSmartsDescriptor"
"topological","org.openscience.cdk.qsar.descriptors.molecular.KappaShapeIndicesDescriptor"
"topological","org.openscience.cdk.qsar.descriptors.molecular.HybridizationRatioDescriptor"
"topological","org.openscience.cdk.qsar.descriptors.molecular.FragmentComplexityDescriptor"
"topological","org.openscience.cdk.qsar.descriptors.molecular.FMFDescriptor"
"topological","org.openscience.cdk.qsar.descriptors.molecular.EccentricConnectivityIndexDescriptor"
"topological","org.openscience.cdk.qsar.descriptors.molecular.ChiPathDescriptor"
"topological","org.openscience.cdk.qsar.descriptors.molecular.ChiPathClusterDescriptor"
"topological","org.openscience.cdk.qsar.descriptors.molecular.ChiClusterDescriptor"
"topological","org.openscience.cdk.qsar.descriptors.molecular.ChiChainDescriptor"
"topological","org.openscience.cdk.qsar.descriptors.molecular.CarbonTypesDescriptor"
"topological","org.openscience.cdk.qsar.descriptors.molecular.AutocorrelationDescriptorPolarizability"
"topological","org.openscience.cdk.qsar.descriptors.molecular.AutocorrelationDescriptorMass"
"topological","org.openscience.cdk.qsar.descriptors.molecular.AutocorrelationDescriptorCharge"
"electronic","org.openscience.cdk.qsar.descriptors.molecular.FractionalPSADescriptor"
"electronic","org.openscience.cdk.qsar.descriptors.molecular.TPSADescriptor"
"electronic","org.openscience.cdk.qsar.descriptors.molecular.HBondDonorCountDescriptor"
"electronic","org.openscience.cdk.qsar.descriptors.molecular.HBondAcceptorCountDescriptor"
"electronic","org.openscience.cdk.qsar.descriptors.molecular.CPSADescriptor"
"electronic","org.openscience.cdk.qsar.descriptors.molecular.BPolDescriptor"
"electronic","org.openscience.cdk.qsar.descriptors.molecular.APolDescriptor"
"geometrical","org.openscience.cdk.qsar.descriptors.molecular.PetitjeanShapeIndexDescriptor"
"geometrical","org.openscience.cdk.qsar.descriptors.molecular.MomentOfInertiaDescriptor"
"geometrical","org.openscience.cdk.qsar.descriptors.molecular.LengthOverBreadthDescriptor"
"geometrical","org.openscience.cdk.qsar.descriptors.molecular.GravitationalIndexDescriptor"
"geometrical","org.openscience.cdk.qsar.descriptors.molecular.CPSADescriptor"
