,dataset,algorithm,split_number,pchembl_value,predicted,absolute_error
CHEMBL113935,NYPR1,modsar,1,8.27,8.150000000000006,0.11999999999999389
CHEMBL114040,NYPR1,modsar,1,6.57,8.150000000000006,1.5800000000000054
CHEMBL1307319,NYPR1,modsar,1,5.49,5.28,0.20999999999999996
CHEMBL1308461,NYPR1,modsar,1,5.14,5.15,0.010000000000000675
CHEMBL1327690,NYPR1,modsar,1,5.18,5.052908934873723,0.12709106512627688
CHEMBL1336318,NYPR1,modsar,1,5.17,5.39,0.21999999999999975
CHEMBL1342925,NYPR1,modsar,1,5.11,5.012943345022534,0.0970566549774663
CHEMBL1350415,NYPR1,modsar,1,4.72,5.443529143021921,0.7235291430219215
CHEMBL1353075,NYPR1,modsar,1,4.86,4.251028946024093,0.6089710539759077
CHEMBL1383592,NYPR1,modsar,1,5.13,4.804697329074493,0.3253026709255069
CHEMBL1386511,NYPR1,modsar,1,5.14,5.11,0.02999999999999936
CHEMBL1426896,NYPR1,modsar,1,5.23,4.603487583510393,0.6265124164896072
CHEMBL1427504,NYPR1,modsar,1,5.25,5.79096336611274,0.5409633661127398
CHEMBL1439255,NYPR1,modsar,1,4.87,5.25,0.3799999999999999
CHEMBL1439981,NYPR1,modsar,1,5.11,4.599556691422819,0.5104433085771811
CHEMBL1493277,NYPR1,modsar,1,4.99,5.192216840075014,0.20221684007501395
CHEMBL1493500,NYPR1,modsar,1,5.24,5.088746531303145,0.1512534686968552
CHEMBL1507807,NYPR1,modsar,1,5.08,4.88,0.20000000000000018
CHEMBL1509886,NYPR1,modsar,1,5.05,5.47,0.41999999999999993
CHEMBL1527817,NYPR1,modsar,1,5.01,4.3974551370490405,0.6125448629509593
CHEMBL1531745,NYPR1,modsar,1,5.34,5.755489089802549,0.4154890898025494
CHEMBL1570844,NYPR1,modsar,1,5.11,5.3500000000000085,0.2400000000000082
CHEMBL1610409,NYPR1,modsar,1,5.16,4.619463351942581,0.5405366480574187
CHEMBL1616775,NYPR1,modsar,1,5.22,5.11,0.10999999999999943
CHEMBL1616825,NYPR1,modsar,1,4.87,5.263928114813698,0.39392811481369794
CHEMBL1619019,NYPR1,modsar,1,5.44,4.944956983641413,0.4950430163585873
CHEMBL1620460,NYPR1,modsar,1,4.99,5.229219876362891,0.239219876362891
CHEMBL1620870,NYPR1,modsar,1,5.02,5.063769767127991,0.04376976712799152
